,Feature,Pearson Coefficent Selector,Logistic Regression Selector,Random Forest Selector,Extra Tree Selector,Chi-2 Selector,Forward Feature Selector,Backward Feature Selector,Mutual Info Selector,Factor Analysis Selector,PCA selector,Total
1,RRV_ApEn,True,True,True,True,True,True,True,True,False,False,8
2,RRV_LFn,True,True,True,True,True,True,True,False,False,False,7
3,HRV_C2d,True,True,True,True,True,False,False,True,False,False,6
4,HRV_LF,True,True,True,True,True,False,False,False,False,False,5
5,HRV_ApEn,False,False,True,True,False,True,True,True,False,False,5
6,HRV_MFDFA_alpha2_Delta,True,False,True,True,False,False,False,False,False,True,4
7,RRV_SD2SD1,False,False,True,True,False,False,False,False,True,False,3
8,HRV_VLF,True,False,False,True,True,False,False,False,False,False,3
9,HRV_RCMSEn,False,True,False,False,False,False,False,False,True,True,3
10,HRV_FuzzyEn,False,False,False,False,False,False,True,False,True,True,3
11,HRV_DFA_alpha2,False,True,False,False,False,True,False,True,False,False,3
12,RRV_VLF,False,False,False,False,False,False,True,False,False,True,2
13,RRV_SampEn,True,False,False,True,False,False,False,False,False,False,2
14,RRV_MCVBB,False,False,False,False,False,False,False,False,True,True,2
15,RRV_LF,False,True,False,True,False,False,False,False,False,False,2
16,RRV_HFn,True,False,False,False,True,False,False,False,False,False,2
17,HRV_ShanEn,False,False,False,False,False,True,True,False,False,False,2
18,HRV_SDNN,False,True,False,False,True,False,False,False,False,False,2
19,HRV_MadNN,False,False,False,False,False,False,False,False,True,True,2
20,HRV_MFDFA_alpha2_Peak,False,False,False,False,False,False,True,True,False,False,2
21,HRV_MFDFA_alpha2_Mean,True,False,False,False,False,False,False,False,True,False,2
22,HRV_MFDFA_alpha2_Increment,False,False,False,False,True,False,False,False,True,False,2
23,HRV_LFn,False,True,False,False,False,False,False,False,False,True,2
24,HRV_KFD,True,False,False,False,True,False,False,False,False,False,2
25,HRV_HFn,False,True,False,False,False,False,False,True,False,False,2
26,HRV_DFA_alpha1,False,False,True,False,False,True,False,False,False,False,2
27,HRV_C1d,False,False,True,False,False,False,False,True,False,False,2
28,RSP_Phase_Duration_Inspiration,False,False,False,False,False,False,False,False,False,True,1
29,RSP_Phase_Duration_Expiration,False,False,False,False,False,False,False,False,True,False,1
30,RRV_RMSSD,False,False,False,False,False,False,False,True,False,False,1
31,RRV_LFHF,False,False,False,False,False,True,False,False,False,False,1
32,HRV_TINN,False,False,False,False,False,True,False,False,False,False,1
33,HRV_SD1SD2,False,False,False,False,False,True,False,False,False,False,1
34,HRV_PIP,False,False,False,False,False,False,True,False,False,False,1
35,HRV_PI,False,False,False,False,False,False,False,False,True,False,1
36,HRV_MFDFA_alpha2_Width,False,False,False,False,False,False,True,False,False,False,1
37,HRV_MFDFA_alpha2_Fluctuation,False,False,False,False,True,False,False,False,False,False,1
38,HRV_MFDFA_alpha1_Max,False,False,False,False,False,False,False,False,True,False,1
39,HRV_MFDFA_alpha1_Delta,False,False,False,False,False,False,False,False,False,True,1
40,HRV_LnHF,False,False,False,False,False,True,False,False,False,False,1
41,HRV_LFHF,False,False,False,False,False,False,False,True,False,False,1
42,HRV_HTI,False,False,False,False,False,False,True,False,False,False,1
43,HRV_GI,False,False,False,False,False,False,False,False,False,True,1
44,HRV_CMSEn,False,False,True,False,False,False,False,False,False,False,1
45,ECG_Rate_Mean,False,False,False,False,False,False,False,True,False,False,1
46,RSP_Rate_Mean,False,False,False,False,False,False,False,False,False,False,0
47,RSP_Phase_Duration_Ratio,False,False,False,False,False,False,False,False,False,False,0
48,RSP_Amplitude_Mean,False,False,False,False,False,False,False,False,False,False,0
49,RRV_MadBB,False,False,False,False,False,False,False,False,False,False,0
50,RRV_HF,False,False,False,False,False,False,False,False,False,False,0
51,RRV_CVBB,False,False,False,False,False,False,False,False,False,False,0
52,HRV_pNN50,False,False,False,False,False,False,False,False,False,False,0
53,HRV_pNN20,False,False,False,False,False,False,False,False,False,False,0
54,HRV_VHF,False,False,False,False,False,False,False,False,False,False,0
55,HRV_SampEn,False,False,False,False,False,False,False,False,False,False,0
56,HRV_PAS,False,False,False,False,False,False,False,False,False,False,0
57,HRV_MinNN,False,False,False,False,False,False,False,False,False,False,0
58,HRV_MSEn,False,False,False,False,False,False,False,False,False,False,0
59,HRV_MFDFA_alpha2_Max,False,False,False,False,False,False,False,False,False,False,0
60,HRV_MFDFA_alpha2_Asymmetry,False,False,False,False,False,False,False,False,False,False,0
61,HRV_MFDFA_alpha1_Width,False,False,False,False,False,False,False,False,False,False,0
62,HRV_MFDFA_alpha1_Mean,False,False,False,False,False,False,False,False,False,False,0
63,HRV_MFDFA_alpha1_Fluctuation,False,False,False,False,False,False,False,False,False,False,0
64,HRV_MFDFA_alpha1_Asymmetry,False,False,False,False,False,False,False,False,False,False,0
65,HRV_LZC,False,False,False,False,False,False,False,False,False,False,0
66,HRV_HF,False,False,False,False,False,False,False,False,False,False,0
67,HRV_CVI,False,False,False,False,False,False,False,False,False,False,0
68,HRV_CD,False,False,False,False,False,False,False,False,False,False,0
